Species,longitude,latitude
GreatHornbill,74.201278,15.583496
GreatHornbill,89.6087,26.703832
GreatHornbill,92.812097,27.087146
GreatHornbill,77.180688,9.578894
GreatHornbill,77.15403,9.44613
GreatHornbill,79.256113,29.437976
GreatHornbill,77.15403,9.44613
GreatHornbill,73.38608,17.43399
GreatHornbill,77.259507,10.147677
GreatHornbill,76.860666,11.415647
GreatHornbill,76.896701,9.069128
GreatHornbill,73.38608,17.43399
GreatHornbill,79.094589,29.321577
GreatHornbill,93.266338,26.615357
GreatHornbill,76.966943,10.26924
GreatHornbill,92.812097,27.087146
GreatHornbill,92.812097,27.087146
GreatHornbill,96.209874,27.494771
GreatHornbill,95.518398,27.350479
GreatHornbill,76.984828,10.289722
GreatHornbill,92.812097,27.087146
GreatHornbill,79.22533,29.377927
GreatHornbill,73.38608,17.43399
GreatHornbill,92.812097,27.087146
GreatHornbill,95.518398,27.350479
GreatHornbill,76.984828,10.289722
GreatHornbill,77.144988,9.464513
GreatHornbill,79.094589,29.321577
GreatHornbill,92.827795,26.924096
GreatHornbill,77.15403,9.44613
GreatHornbill,74.273479,15.082114
GreatHornbill,92.812097,27.087146
GreatHornbill,76.995106,10.358267
GreatHornbill,77.259507,10.147677
GreatHornbill,92.812097,27.087146
GreatHornbill,76.690064,10.522919
GreatHornbill,74.252987,15.119193
GreatHornbill,79.381325,29.330875
GreatHornbill,78.992582,29.423777
GreatHornbill,92.913287,26.989907
GreatHornbill,78.272574,30.018466
GreatHornbill,77.248964,9.523936
GreatHornbill,96.415797,27.465184
GreatHornbill,91.019025,26.738358
GreatHornbill,79.249368,29.436574
GreatHornbill,92.812097,27.087146
GreatHornbill,76.892206,10.298612
GreatHornbill,74.252987,15.119193
GreatHornbill,78.08,30.45
GreatHornbill,96.415797,27.465184
GreatHornbill,96.415797,27.465184
GreatHornbill,79.249368,29.436574
GreatHornbill,96.415797,27.465184
GreatHornbill,78.992582,29.423777
GreatHornbill,76.871166,10.318524
GreatHornbill,92.913287,26.989907
GreatHornbill,76.955972,10.314545
GreatHornbill,96.415797,27.465184
GreatHornbill,74.252987,15.119193
GreatHornbill,91.019025,26.738358
GreatHornbill,76.703636,10.198078
GreatHornbill,77.167253,9.352332
GreatHornbill,76.788511,11.36729
GreatHornbill,92.913287,26.989907
GreatHornbill,74.184701,15.672998
GreatHornbill,92.913287,26.989907
GreatHornbill,93.546249,26.682722
GreatHornbill,76.788511,11.36729
GreatHornbill,93.41946,26.649729
GreatHornbill,76.892206,10.298612
GreatHornbill,77.082385,9.434078
GreatHornbill,77.24988,9.52649
GreatHornbill,76.683333,10.833333
GreatHornbill,76.881498,10.304428
GreatHornbill,76.871166,10.318524
GreatHornbill,76.875211,10.31001
GreatHornbill,76.984828,10.289722
GreatHornbill,96.415797,27.465184
GreatHornbill,79.104223,29.546916
GreatHornbill,92.812097,27.087146
GreatHornbill,73.661646,15.766112
GreatHornbill,96.230081,27.55577
GreatHornbill,76.933204,10.357589
GreatHornbill,76.933204,10.357589
GreatHornbill,92.913287,26.989907
GreatHornbill,96.415797,27.465184
GreatHornbill,93.520517,26.64092
GreatHornbill,93.520517,26.64092
GreatHornbill,96.415797,27.465184
GreatHornbill,96.415797,27.465184
GreatHornbill,92.913287,26.989907
GreatHornbill,95.518398,27.350479
GreatHornbill,78.211991,29.969833
GreatHornbill,76.933204,10.357589
GreatHornbill,93.399992,26.590645
GreatHornbill,93.352847,26.581696
GreatHornbill,93.181315,26.580757
GreatHornbill,77.008502,11.444329
GreatHornbill,96.415797,27.465184
GreatHornbill,96.415797,27.465184
GreatHornbill,76.892206,10.298612
GreatHornbill,96.415797,27.465184
GreatHornbill,78.211309,29.97297
GreatHornbill,96.415797,27.465184
GreatHornbill,92.812097,27.087146
GreatHornbill,76.933204,10.357589
GreatHornbill,92.913287,26.989907
GreatHornbill,77.167253,9.352332
GreatHornbill,76.683333,10.833333
GreatHornbill,76.871166,10.318524
GreatHornbill,96.415797,27.465184
